,Release Year,Sentiment,Total Content
149,2010,Negative,53
150,2010,Neutral,40
151,2010,Positive,101
152,2011,Negative,46
153,2011,Neutral,33
154,2011,Positive,106
155,2012,Negative,73
156,2012,Neutral,39
157,2012,Positive,125
158,2013,Negative,93
159,2013,Neutral,44
160,2013,Positive,151
161,2014,Negative,117
162,2014,Neutral,67
163,2014,Positive,168
164,2015,Negative,167
165,2015,Neutral,96
166,2015,Positive,297
167,2016,Negative,283
168,2016,Neutral,152
169,2016,Positive,467
170,2017,Negative,323
171,2017,Neutral,210
172,2017,Positive,499
173,2018,Negative,355
174,2018,Neutral,212
175,2018,Positive,580
176,2019,Negative,308
177,2019,Neutral,170
178,2019,Positive,552
179,2020,Negative,273
180,2020,Neutral,161
181,2020,Positive,519
182,2021,Negative,164
183,2021,Neutral,85
184,2021,Positive,343
